Id,Label,timeset,modularity_class,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,harmonicclosnesscentrality,betweenesscentrality
nm0397171,Bryce Dallas Howard,,17,2,0,2,3,0,3,0,0
nm0627245,Thierry Neuvic,,13,1,0,1,1,0,1,0,0
nm0357979,Josh Hamilton,,13,1,0,1,1,0,1,0,0
nm1638365,John Lloyd Young,,13,1,0,1,1,0,1,0,0
nm2706992,Erich Bergen,,13,1,0,1,1,0,1,0,0
nm4608989,Michael Lomenda,,13,1,0,1,1,0,1,0,0
nm1842344,Vincent Piazza,,13,1,0,1,1,0,1,0,0
nm0177896,Bradley Cooper,,13,1,0,1,1,0,1,0,0
nm1092227,Sienna Miller,,13,1,0,1,1,0,1,0,0
nm0973177,Kyle Gallner,,13,1,0,1,1,0,1,0,0
nm6518675,Cole Konis,,13,1,0,1,1,0,1,0,0
nm0001473,Laura Linney,,13,1,0,1,1,0,1,0,0
nm0536723,Valerie Mahaffey,,13,1,0,1,1,0,1,0,0
nm3236159,Paul Walter Hauser,,13,1,0,1,1,0,1,0,0
nm0005377,Sam Rockwell,,13,1,0,1,1,0,1,0,0
nm10263413,Brandon Stanley,,13,1,0,1,1,0,1,0,0
nm5573623,Ryan Boz,,13,1,0,1,1,0,1,0,0
nm7556035,Alek Skarlatos,,13,1,0,1,1,0,1,0,0
nm7582805,Anthony Sadler,,13,1,0,1,1,0,1,0,0
nm7052140,Spencer Stone,,13,1,0,1,1,0,1,0,0
nm2040230,Ray Corasani,,13,1,0,1,1,0,1,0,0
nm0000965,Danny Boyle,,14,0,77,77,0,82,82,1,0
nm0289098,Kerry Fox,,14,1,0,1,1,0,1,0,0
nm0001172,Christopher Eccleston,,14,1,0,1,3,0,3,0,0
nm0832792,Ken Stott,,14,1,0,1,1,0,1,0,0
nm0948679,Daniel York,,14,1,0,1,1,0,1,0,0
nm0665265,Patcharawan Patarakijjanon,,14,1,0,1,1,0,1,0,0
nm0001461,Virginie Ledoyen,,14,1,0,1,1,0,1,0,0
nm0170620,Josh Cole,,14,1,0,1,1,0,1,0,0
nm0187327,David Crellin,,14,1,0,1,1,0,1,0,0
nm1527595,Amanda Fairclough,,14,1,0,1,1,0,1,0,0
nm0066781,Michael Begley,,14,1,0,1,1,0,1,0,0
nm0146900,Katy Cavanagh-Jupe,,14,1,0,1,1,0,1,0,0
nm1192148,Caroline Ashley,,14,1,0,1,1,0,1,0,0
nm0614165,Cillian Murphy,,14,1,0,1,2,0,2,0,0
nm0365140,Naomie Harris,,14,1,0,1,1,0,1,0,0
nm0658099,Alex Palmer,,14,1,0,1,1,0,1,0,0
nm0858170,Martha Thimmesch,,14,1,0,1,1,0,1,0,0
nm0715197,Manning Redwood,,14,1,0,1,1,0,1,0,0
nm0393853,William Hootkins,,14,1,0,1,1,0,1,0,0
nm0228533,Harry Ditson,,14,1,0,1,1,0,1,0,0
nm0676370,Clarke Peters,,14,1,0,1,1,0,1,0,0
nm0792384,Bob Sherman,,14,1,0,1,1,0,1,0,0
nm3016093,Jeremy Chapman,,14,1,0,1,1,0,1,0,0
nm0564044,Ray McAnally,,14,1,0,1,1,0,1,0,0
nm0001653,Stephen Rea,,14,1,0,1,1,0,1,0,0
nm0641358,Gerard O'Hare,,14,1,0,1,1,0,1,0,0
nm1449578,Colin Connor,,14,1,0,1,1,0,1,0,0
nm0509502,Michael Liebmann,,14,1,0,1,1,0,1,0,0
nm0404371,Lloyd Hutchinson,,14,1,0,1,1,0,1,0,0
nm0368521,Ann Hasson,,14,1,0,1,1,0,1,0,0
nm0060862,Brigid Erin Bates,,14,1,0,1,1,0,1,0,0
nm0186475,Lorcan Cranitch,,14,1,0,1,1,0,1,0,0
nm0189741,Jeananne Crowley,,14,1,0,1,1,0,1,0,0
nm0193868,Iain Cuthbertson,,14,1,0,1,1,0,1,0,0
nm0220319,Jean-Claude Deret,,14,1,0,1,1,0,1,0,0
nm0236507,Tony Doyle,,14,1,0,1,1,0,1,0,0
nm0974401,Sylvie Favre,,14,1,0,1,1,0,1,0,0
nm1375020,Alex Etel,,14,1,0,1,1,0,1,0,0
nm0626362,James Nesbitt,,14,1,0,1,1,0,1,0,0
nm0232963,Daisy Donovan,,14,1,0,1,1,0,1,0,0
nm1375797,Lewis McGibbon,,14,1,0,1,1,0,1,0,0
nm0126284,Rose Byrne,,14,1,0,1,1,0,1,0,0
nm0262635,Chris Evans,,14,1,0,1,1,0,1,0,0
nm2353862,Dev Patel,,17,2,0,2,2,0,2,0,0
nm2951768,Freida Pinto,,14,1,0,1,1,0,1,0,0
nm0795661,Saurabh Shukla,,14,1,0,1,1,0,1,0,0
nm0438463,Anil Kapoor,,14,1,0,1,1,0,1,0,0
nm0290556,James Franco,,14,1,0,1,1,0,1,0,0
nm0848554,Amber Tamblyn,,14,1,0,1,1,0,1,0,0
nm0544718,Kate Mara,,14,1,0,1,1,0,1,0,0
nm2505304,Sean Bott,,14,1,0,1,1,0,1,0,0
nm4597694,John Killoran,,14,1,0,1,1,0,1,0,0
